Gene stable ID	Gene name	Gene description	Chromosome/scaffold name	Gene start (bp)	Gene end (bp)	Strand
ENSDARG00000010717	chchd10	coiled-coil-helix-coiled-coil-helix domain containing 10 [Source:ZFIN;Acc:ZDB-GENE-040426-1753]	21	15704556	15708626	1
ENSDARG00000020449	yipf3	Yip1 domain family, member 3 [Source:ZFIN;Acc:ZDB-GENE-030131-6443]	13	3938526	3950673	1
ENSDARG00000038792	klf17	Kruppel-like factor 17 [Source:ZFIN;Acc:ZDB-GENE-010129-1]	2	33326522	33328688	1
ENSDARG00000095204	AL935117.1		18	30129771	30131831	1
ENSDARG00000017163	sinup	siaz-interacting nuclear protein [Source:ZFIN;Acc:ZDB-GENE-050913-2]	4	20176143	20177868	-1
ENSDARG00000044015	gfra2b	GDNF family receptor alpha 2b [Source:ZFIN;Acc:ZDB-GENE-091204-26]	10	19723025	19801821	-1
ENSDARG00000101456	acp5b	acid phosphatase 5b, tartrate resistant [Source:ZFIN;Acc:ZDB-GENE-040718-151]	24	31294019	31306724	-1
ENSDARG00000076801	arap3	ArfGAP with RhoGAP domain, ankyrin repeat and PH domain 3 [Source:ZFIN;Acc:ZDB-GENE-091019-1]	14	26566936	26626130	1
ENSDARG00000003206	chchd6a	coiled-coil-helix-coiled-coil-helix domain containing 6a [Source:ZFIN;Acc:ZDB-GENE-040930-2]	23	34047413	34185019	1
ENSDARG00000105543	BX323797.2		7	38245927	38247747	1
ENSDARG00000078686	arl8a	ADP-ribosylation factor-like 8A [Source:ZFIN;Acc:ZDB-GENE-030131-5025]	22	710759	718615	-1
ENSDARG00000017835	brf1a	BRF1, RNA polymerase III transcription initiation factor a [Source:ZFIN;Acc:ZDB-GENE-030131-6334]	13	33368140	33449639	1
ENSDARG00000044318	itgb7	integrin, beta 7 [Source:ZFIN;Acc:ZDB-GENE-100728-2]	6	39703232	39727244	-1
ENSDARG00000076025	dgkzb	diacylglycerol kinase, zeta b [Source:ZFIN;Acc:ZDB-GENE-111104-4]	25	7784582	7866470	1
ENSDARG00000009253	rtraf	RNA transcription, translation and transport factor [Source:ZFIN;Acc:ZDB-GENE-040426-1082]	17	14784258	14794741	1
ENSDARG00000062549	acmsd	aminocarboxymuconate semialdehyde decarboxylase [Source:ZFIN;Acc:ZDB-GENE-070410-103]	9	23244292	23253870	-1
ENSDARG00000037262	cdkn2a/b	cyclin-dependent kinase inhibitor 2A/B (p15, inhibits CDK4) [Source:ZFIN;Acc:ZDB-GENE-081104-306]	1	26127818	26131088	-1
ENSDARG00000075855	adgre10	adhesion G protein-coupled receptor E10 [Source:ZFIN;Acc:ZDB-GENE-090313-152]	1	55730205	55747003	1
ENSDARG00000037555	atoh8	atonal bHLH transcription factor 8 [Source:ZFIN;Acc:ZDB-GENE-061215-7]	14	9507291	9522364	-1
ENSDARG00000038976	pdcd7	programmed cell death 7 [Source:ZFIN;Acc:ZDB-GENE-040728-3]	7	13684012	13737618	1
ENSDARG00000039349	qrfpra	pyroglutamylated RFamide peptide receptor a [Source:ZFIN;Acc:ZDB-GENE-090313-105]	13	30215765	30225311	1
ENSDARG00000036588	mhc1zba	major histocompatibility complex class I ZBA [Source:ZFIN;Acc:ZDB-GENE-040426-2149]	1	47155424	47161996	-1
ENSDARG00000098257	pcdh15a	protocadherin-related 15a [Source:ZFIN;Acc:ZDB-GENE-030616-3]	13	41125358	41546779	-1
ENSDARG00000059351	hnrnpa3	heterogeneous nuclear ribonucleoprotein A3 [Source:ZFIN;Acc:ZDB-GENE-060224-1]	9	1692926	1703801	-1
ENSDARG00000105553	CU041319.2		7	40866815	40884705	-1
ENSDARG00000078717	itga8	integrin, alpha 8 [Source:ZFIN;Acc:ZDB-GENE-080220-48]	16	28383758	28512860	1
ENSDARG00000024219	zgc:55582	zgc:55582 [Source:ZFIN;Acc:ZDB-GENE-030131-6392]	21	4647784	4695583	-1
ENSDARG00000102612	slc15a4	solute carrier family 15 (oligopeptide transporter), member 4 [Source:ZFIN;Acc:ZDB-GENE-040426-1047]	8	35809081	35960987	-1
ENSDARG00000075818	dok2	docking protein 2 [Source:ZFIN;Acc:ZDB-GENE-080721-4]	8	42545757	42594484	-1
ENSDARG00000063006	cacng7a	calcium channel, voltage-dependent, gamma subunit 7a [Source:ZFIN;Acc:ZDB-GENE-060503-814]	19	9840771	9882821	-1
ENSDARG00000097115	si:dkey-27l15.1	si:dkey-27l15.1 [Source:ZFIN;Acc:ZDB-GENE-131121-472]	17	30140099	30205302	-1
ENSDARG00000055560	p2ry8	P2Y receptor family member 8 [Source:ZFIN;Acc:ZDB-GENE-070912-447]	9	34884933	34885902	-1
ENSDARG00000099099	CABZ01015815.1		4	76838989	76891899	1
ENSDARG00000024771	slc24a5	solute carrier family 24 (sodium/potassium/calcium exchanger), member 5 [Source:ZFIN;Acc:ZDB-GENE-031210-1]	18	5213338	5227420	1
ENSDARG00000052846	fsta	follistatin a [Source:ZFIN;Acc:ZDB-GENE-990714-11]	5	40504910	40510399	-1
ENSDARG00000092855	SRBD1	S1 RNA binding domain 1 [Source:HGNC Symbol;Acc:HGNC:25521]	13	9896368	10004186	1
ENSDARG00000014024	ms4a17a.4	membrane-spanning 4-domains, subfamily A, member 17A.4 [Source:ZFIN;Acc:ZDB-GENE-070822-16]	4	76752707	76762432	1
ENSDARG00000100531	abhd14b	abhydrolase domain containing 14B [Source:ZFIN;Acc:ZDB-GENE-040426-1342]	6	53429228	53435711	1
ENSDARG00000101319	si:ch73-299h12.6	si:ch73-299h12.6 [Source:ZFIN;Acc:ZDB-GENE-081031-44]	21	2289254	2299002	-1
ENSDARG00000055445	slc22a15	solute carrier family 22, member 15 [Source:ZFIN;Acc:ZDB-GENE-070928-5]	17	19499157	19511206	1
ENSDARG00000089750	si:dkey-26g8.5	si:dkey-26g8.5 [Source:ZFIN;Acc:ZDB-GENE-121214-19]	12	16919411	16923162	-1
ENSDARG00000078529	adgrb1b	adhesion G protein-coupled receptor B1b [Source:ZFIN;Acc:ZDB-GENE-081031-45]	19	92570	103289	-1
ENSDARG00000094550	BX649490.2		22	30497494	30499478	1
ENSDARG00000091169	tor4ab	torsin family 4, member Ab [Source:ZFIN;Acc:ZDB-GENE-070705-135]	5	9894143	9948497	-1
ENSDARG00000052010	ciao2b	cytosolic iron-sulfur assembly component 2B [Source:ZFIN;Acc:ZDB-GENE-040718-148]	7	44965773	44970994	-1
ENSDARG00000098075	sh3bgrl3	SH3 domain binding glutamate-rich protein like 3 [Source:ZFIN;Acc:ZDB-GENE-040426-1059]	19	13939750	13950231	-1
ENSDARG00000093164	si:rp71-23d18.8	si:rp71-23d18.8 [Source:ZFIN;Acc:ZDB-GENE-050208-521]	22	24673168	24683002	1
ENSDARG00000093780	BX548078.1		15	20960069	20978248	-1
ENSDARG00000069595	si:ch211-214c7.4	si:ch211-214c7.4 [Source:ZFIN;Acc:ZDB-GENE-030131-6275]	1	45707219	45744854	1
ENSDARG00000093621	si:dkey-27b3.4	si:dkey-27b3.4 [Source:ZFIN;Acc:ZDB-GENE-091204-131]	10	8688678	8697787	1
ENSDARG00000045070	itgb3b	integrin beta 3b [Source:ZFIN;Acc:ZDB-GENE-071207-2]	12	26434478	26461744	1
ENSDARG00000055901	steap4	STEAP family member 4 [Source:ZFIN;Acc:ZDB-GENE-070424-244]	16	27734872	27749172	-1
ENSDARG00000093608	ccl34b.1	chemokine (C-C motif) ligand 34b, duplicate 1 [Source:ZFIN;Acc:ZDB-GENE-091204-276]	24	27396989	27400630	-1
ENSDARG00000023111	plg	plasminogen [Source:ZFIN;Acc:ZDB-GENE-030131-1411]	20	42688488	42702884	-1
ENSDARG00000020197	rpl5a	ribosomal protein L5a [Source:ZFIN;Acc:ZDB-GENE-030131-5161]	2	10687276	10703621	-1
ENSDARG00000040930	deptor	DEP domain containing MTOR-interacting protein [Source:ZFIN;Acc:ZDB-GENE-061013-453]	16	14588141	14675907	1
ENSDARG00000099685	gnb5a	guanine nucleotide binding protein (G protein), beta 5a [Source:ZFIN;Acc:ZDB-GENE-070112-342]	25	4837915	4851181	1
ENSDARG00000051729	nfatc3b	nuclear factor of activated T cells 3b [Source:ZFIN;Acc:ZDB-GENE-100922-25]	25	36219436	36248053	-1
ENSDARG00000098514	si:ch211-59d8.3	si:ch211-59d8.3 [Source:ZFIN;Acc:ZDB-GENE-120709-11]	4	42403742	42408339	-1
ENSDARG00000077778	adamts9	ADAM metallopeptidase with thrombospondin type 1 motif, 9 [Source:ZFIN;Acc:ZDB-GENE-070814-6]	11	19157879	19227802	1
ENSDARG00000057227	si:dkey-222b8.4	si:dkey-222b8.4 [Source:ZFIN;Acc:ZDB-GENE-060503-438]	19	23875382	23895839	-1
ENSDARG00000092014	BX294129.1		13	40754580	40808436	1
ENSDARG00000043431	b3gntl1	UDP-GlcNAc:betaGal beta-1,3-N-acetylglucosaminyltransferase-like 1 [Source:ZFIN;Acc:ZDB-GENE-050913-133]	1	57347888	57365052	1
ENSDARG00000029905	phyhd1	phytanoyl-CoA dioxygenase domain containing 1 [Source:ZFIN;Acc:ZDB-GENE-041114-159]	21	4508959	4525080	1
ENSDARG00000077082	agtrap	angiotensin II receptor-associated protein [Source:ZFIN;Acc:ZDB-GENE-050309-11]	11	16040517	16064291	1
ENSDARG00000077581	zzz3	zinc finger, ZZ-type containing 3 [Source:ZFIN;Acc:ZDB-GENE-030131-6450]	2	8778490	8842472	1
ENSDARG00000018593	parp16	poly (ADP-ribose) polymerase family, member 16 [Source:ZFIN;Acc:ZDB-GENE-040426-2289]	25	31868268	31882618	1
ENSDARG00000079455	nlgn4xa	neuroligin 4 X-linked a [Source:ZFIN;Acc:ZDB-GENE-100309-2]	1	32521469	32693950	1
ENSDARG00000071648	zgc:113298	zgc:113298 [Source:ZFIN;Acc:ZDB-GENE-050522-40]	22	6342781	6362472	-1
ENSDARG00000095337	CR318646.3		7	4493556	4494895	1
ENSDARG00000097225	si:dkey-79d12.6	si:dkey-79d12.6 [Source:ZFIN;Acc:ZDB-GENE-131127-253]	16	24842662	24873020	1
ENSDARG00000097063	sparcl2	SPARC-like 2 [Source:ZFIN;Acc:ZDB-GENE-131127-575]	17	26543690	26552971	1
ENSDARG00000094616	zgc:113984	zgc:113984 [Source:ZFIN;Acc:ZDB-GENE-050626-82]	9	8390737	8393808	1
ENSDARG00000002509	zgc:153911	zgc:153911 [Source:ZFIN;Acc:ZDB-GENE-061013-174]	13	35974362	35976986	-1
ENSDARG00000027826	pudp	pseudouridine 5'-phosphatase [Source:ZFIN;Acc:ZDB-GENE-050522-36]	1	32341484	32385665	1
ENSDARG00000010408	igsf9b	immunoglobulin superfamily, member 9b [Source:ZFIN;Acc:ZDB-GENE-060810-28]	8	4856440	4892913	-1
ENSDARG00000054031	mxd4	MAX dimerization protein 4 [Source:ZFIN;Acc:ZDB-GENE-050208-44]	1	26071869	26096572	1
ENSDARG00000062987	tyw1	tRNA-yW synthesizing protein 1 homolog (S. cerevisiae) [Source:ZFIN;Acc:ZDB-GENE-060929-688]	15	16739160	16872600	-1
ENSDARG00000004296	ambp	alpha-1-microglobulin/bikunin precursor [Source:ZFIN;Acc:ZDB-GENE-040426-1608]	10	10801564	10824286	1
ENSDARG00000039880	arpp19b	cAMP-regulated phosphoprotein 19b [Source:ZFIN;Acc:ZDB-GENE-040426-930]	25	7653902	7663608	-1
ENSDARG00000035860	rps28	ribosomal protein S28 [Source:ZFIN;Acc:ZDB-GENE-030131-2022]	2	24507597	24509698	1
ENSDARG00000041078	chka	choline kinase alpha [Source:ZFIN;Acc:ZDB-GENE-050208-149]	18	21122818	21145374	1
ENSDARG00000023298	rps27.1	ribosomal protein S27, isoform 1 [Source:ZFIN;Acc:ZDB-GENE-050522-549]	19	8743260	8748571	-1
ENSDARG00000104332	cdh28	cadherin 28 [Source:ZFIN;Acc:ZDB-GENE-081104-9]	7	53199763	53212294	1
ENSDARG00000075112	tacr3a	tachykinin receptor 3a [Source:ZFIN;Acc:ZDB-GENE-090312-106]	1	43801957	43892349	-1
ENSDARG00000002219	si:dkey-103j14.5	si:dkey-103j14.5 [Source:ZFIN;Acc:ZDB-GENE-090313-170]	13	23233956	23270576	-1
ENSDARG00000098889	si:zfos-128g4.2	si:zfos-128g4.2 [Source:ZFIN;Acc:ZDB-GENE-141212-308]	5	1079423	1084174	1
ENSDARG00000079391	mrpl42	mitochondrial ribosomal protein L42 [Source:ZFIN;Acc:ZDB-GENE-101014-1]	4	1821637	1824836	-1
ENSDARG00000074306	ctslb	cathepsin Lb [Source:ZFIN;Acc:ZDB-GENE-980526-285]	12	16691584	16694092	-1
ENSDARG00000093010	BX511259.1		9	33074680	33082181	1
ENSDARG00000096588	adgre15	adhesion G protein-coupled receptor E15 [Source:ZFIN;Acc:ZDB-GENE-121214-33]	1	55563532	55574266	1
ENSDARG00000105603	BX957276.1		7	16348739	16349432	-1
ENSDARG00000093645	BX294113.2		24	14533842	14536411	-1
ENSDARG00000040021	ebag9	estrogen receptor binding site associated, antigen, 9 [Source:ZFIN;Acc:ZDB-GENE-040426-1093]	16	39185103	39195318	-1
ENSDARG00000036893	f13a1b	coagulation factor XIII, A1 polypeptide b [Source:ZFIN;Acc:ZDB-GENE-030131-9634]	7	8267985	8344243	-1
ENSDARG00000013266	colec11	collectin sub-family member 11 [Source:ZFIN;Acc:ZDB-GENE-041114-11]	17	36516695	36529449	-1
ENSDARG00000042937	si:dkey-256e7.5	si:dkey-256e7.5 [Source:ZFIN;Acc:ZDB-GENE-090313-282]	1	17618015	17650223	-1
ENSDARG00000111173	si:dkeyp-67e1.2	si:dkeyp-67e1.2 [Source:ZFIN;Acc:ZDB-GENE-061207-83]	25	15510884	15512819	-1
ENSDARG00000094473	si:dkey-163f12.6	si:dkey-163f12.6 [Source:ZFIN;Acc:ZDB-GENE-041210-350]	8	21406769	21416472	1
ENSDARG00000071377	hsd11b1la	hydroxysteroid (11-beta) dehydrogenase 1-like a [Source:ZFIN;Acc:ZDB-GENE-040426-1002]	22	19552987	19562455	1
ENSDARG00000025671	grm6b	glutamate receptor, metabotropic 6b [Source:ZFIN;Acc:ZDB-GENE-021120-2]	11	25634041	25679721	1
ENSDARG00000092630	CR954294.1		9	18911697	18914941	1
ENSDARG00000035018	thy1	Thy-1 cell surface antigen [Source:ZFIN;Acc:ZDB-GENE-030131-8561]	5	29794058	29803293	1
ENSDARG00000039173	ctslb	cathepsin Lb [Source:ZFIN;Acc:ZDB-GENE-980526-285]	12	16617138	16619757	-1
ENSDARG00000037196	arid5b	AT-rich interaction domain 5B [Source:ZFIN;Acc:ZDB-GENE-121214-272]	12	8168272	8385702	1
ENSDARG00000032264	mybl2b	v-myb avian myeloblastosis viral oncogene homolog-like 2b [Source:ZFIN;Acc:ZDB-GENE-041007-1]	11	1551603	1574656	1
ENSDARG00000025325	ccsapa	centriole, cilia and spindle-associated protein a [Source:ZFIN;Acc:ZDB-GENE-111116-1]	1	53954230	53963933	1
ENSDARG00000097542	CU633855.1		15	47828719	47831416	1
ENSDARG00000054184	btr06	bloodthirsty-related gene family, member 6 [Source:ZFIN;Acc:ZDB-GENE-080516-2]	7	16205609	16214891	-1
ENSDARG00000056331	ahcyl1	adenosylhomocysteinase-like 1 [Source:ZFIN;Acc:ZDB-GENE-021206-7]	8	24971890	25011157	-1
ENSDARG00000102080	mif4gda	MIF4G domain containing a [Source:ZFIN;Acc:ZDB-GENE-040426-1382]	6	19334365	19341186	-1
ENSDARG00000069888	cldna	claudin a [Source:ZFIN;Acc:ZDB-GENE-010328-1]	15	2655566	2657508	-1
ENSDARG00000038363	drd4a	dopamine receptor D4a [Source:ZFIN;Acc:ZDB-GENE-070112-996]	25	4707173	4733221	-1
ENSDARG00000010472	atp1a2a	ATPase Na+/K+ transporting subunit alpha 2 [Source:ZFIN;Acc:ZDB-GENE-001212-6]	2	44203075	44255537	-1
ENSDARG00000040643	ccr10	chemokine (C-C motif) receptor 10 [Source:ZFIN;Acc:ZDB-GENE-040718-424]	24	36673686	36680261	-1
ENSDARG00000075673	arhgap21b	Rho GTPase activating protein 21b [Source:ZFIN;Acc:ZDB-GENE-030131-4944]	2	12302527	12406641	1
ENSDARG00000017422	apmap	adipocyte plasma membrane associated protein [Source:ZFIN;Acc:ZDB-GENE-020919-1]	13	6219551	6239216	1
ENSDARG00000095804	CT027631.1		8	944232	973770	1
ENSDARG00000077318	CR376737.1		24	17136749	17139114	-1
ENSDARG00000097032	si:ch211-256a21.4	si:ch211-256a21.4 [Source:ZFIN;Acc:ZDB-GENE-131121-329]	25	8955530	8963927	1
ENSDARG00000092535	si:dkey-242h9.5	si:dkey-242h9.5 [Source:ZFIN;Acc:ZDB-GENE-060503-535]	18	19101679	19103964	1
ENSDARG00000096638	BX510992.2		20	18565758	18569419	-1
ENSDARG00000063390	pvrl2l	poliovirus receptor-related 2 like [Source:ZFIN;Acc:ZDB-GENE-060503-249]	19	6606197	6774871	-1
ENSDARG00000026403	hephl1b	hephaestin-like 1b [Source:ZFIN;Acc:ZDB-GENE-091204-388]	10	24394023	24416471	-1
ENSDARG00000062108	iffo1b	intermediate filament family orphan 1b [Source:ZFIN;Acc:ZDB-GENE-050208-308]	16	17121986	17162843	-1
ENSDARG00000076830	si:dkey-65b12.6	si:dkey-65b12.6 [Source:ZFIN;Acc:ZDB-GENE-060526-329]	5	41826958	41845116	-1
ENSDARG00000042726	grb7	growth factor receptor bound protein 7 [Source:ZFIN;Acc:ZDB-GENE-091118-23]	24	36414829	36442590	1
ENSDARG00000075030	stx10	syntaxin 10 [Source:ZFIN;Acc:ZDB-GENE-041111-53]	11	31190155	31202851	1
ENSDARG00000103155	ext1a	exostosin glycosyltransferase 1a [Source:ZFIN;Acc:ZDB-GENE-050211-3]	16	48460873	48573510	1
ENSDARG00000019235	sema3aa	sema domain, immunoglobulin domain (Ig), short basic domain, secreted, (semaphorin) 3Aa [Source:ZFIN;Acc:ZDB-GENE-991209-3]	4	11311315	11368490	1
ENSDARG00000075952	mbd2	methyl-CpG binding domain protein 2 [Source:ZFIN;Acc:ZDB-GENE-030131-9049]	5	998296	1047504	-1
ENSDARG00000055472	nubp1	nucleotide binding protein 1 (MinD homolog, E. coli) [Source:ZFIN;Acc:ZDB-GENE-050417-471]	3	26931710	26978793	-1
ENSDARG00000088293	doc2b	double C2-like domains, beta [Source:ZFIN;Acc:ZDB-GENE-090615-1]	5	60919378	61329656	1
ENSDARG00000101050	tmc8	transmembrane channel-like 8 [Source:ZFIN;Acc:ZDB-GENE-081114-2]	11	45199369	45216684	-1
ENSDARG00000097953	BX469902.1	uncharacterized LOC108191330 [Source:NCBI gene;Acc:108191330]	9	31266192	31271786	-1
ENSDARG00000030867	opn7c	opsin 7, group member c [Source:ZFIN;Acc:ZDB-GENE-060526-333]	8	25858224	25874426	-1
ENSDARG00000053383	rprma	reprimo, TP53 dependent G2 arrest mediator candidate a [Source:ZFIN;Acc:ZDB-GENE-050522-218]	9	4609746	4610777	1
ENSDARG00000056921	ankk1	ankyrin repeat and kinase domain containing 1 [Source:ZFIN;Acc:ZDB-GENE-071015-4]	15	22014029	22024954	1
ENSDARG00000042057	trmt1l	tRNA methyltransferase 1-like [Source:ZFIN;Acc:ZDB-GENE-041014-189]	20	34388425	34399442	1
ENSDARG00000105459	CU457819.4	Histone H3.2  [Source:UniProtKB/Swiss-Prot;Acc:Q4QRF4]	7	6344680	6345507	-1
ENSDARG00000100906	hist1h2a11	histone cluster 1 H2A family member 11 [Source:ZFIN;Acc:ZDB-GENE-081205-1]	7	5975194	5975991	1
ENSDARG00000088764	lyplal1	lysophospholipase-like 1 [Source:ZFIN;Acc:ZDB-GENE-050306-32]	16	2637478	2650375	-1
ENSDARG00000033754	rbm48	RNA binding motif protein 48 [Source:ZFIN;Acc:ZDB-GENE-060328-1]	19	40177246	40182642	1
ENSDARG00000002184	igbp1	immunoglobulin (CD79A) binding protein 1 [Source:ZFIN;Acc:ZDB-GENE-040426-2928]	5	36530836	36537975	1
ENSDARG00000093450	si:dkey-78l4.10	si:dkey-78l4.10 [Source:ZFIN;Acc:ZDB-GENE-060503-175]	22	19494996	19496507	1
ENSDARG00000015681	gsk3ab	glycogen synthase kinase 3 alpha b [Source:ZFIN;Acc:ZDB-GENE-990714-3]	16	11242443	11292148	1
ENSDARG00000092078	AL954134.1	uncharacterized LOC101882305 [Source:NCBI gene;Acc:101882305]	2	20699481	20704523	-1
ENSDARG00000105359	FP325123.1	Histone H3.2  [Source:UniProtKB/Swiss-Prot;Acc:Q4QRF4]	7	6467050	6467510	-1
ENSDARG00000079665	gpr158b	G protein-coupled receptor 158b [Source:ZFIN;Acc:ZDB-GENE-130530-875]	2	12104389	12243213	-1
ENSDARG00000021702	pdcd4a	programmed cell death 4a [Source:ZFIN;Acc:ZDB-GENE-040426-1920]	1	26046148	26071535	-1
ENSDARG00000096968	BX004812.1		25	31502082	31502925	-1
ENSDARG00000070846	dazap1	DAZ associated protein 1 [Source:ZFIN;Acc:ZDB-GENE-070212-1]	11	5880562	5925517	1
ENSDARG00000070507	trpc4a	transient receptor potential cation channel, subfamily C, member 4a [Source:ZFIN;Acc:ZDB-GENE-131217-1]	10	25829262	25860102	-1
ENSDARG00000009754	zc3h11a	zinc finger CCCH-type containing 11A [Source:ZFIN;Acc:ZDB-GENE-030131-3272]	11	24034345	24044586	1
ENSDARG00000077124	si:ch211-255p10.4	si:ch211-255p10.4 [Source:ZFIN;Acc:ZDB-GENE-121214-354]	12	4643996	4672708	-1
ENSDARG00000101124	BX649345.2		11	28517562	28520764	1
ENSDARG00000067828	si:ch211-229c8.13	si:ch211-229c8.13 [Source:ZFIN;Acc:ZDB-GENE-120214-7]	18	33100606	33103808	1
ENSDARG00000004184	nf1b	neurofibromin 1b [Source:ZFIN;Acc:ZDB-GENE-091111-4]	10	37268854	37394957	1
ENSDARG00000063155	dcaf12	DDB1 and CUL4 associated factor 12 [Source:ZFIN;Acc:ZDB-GENE-061013-363]	21	11883336	11911966	1
ENSDARG00000096606	si:ch73-94k4.4	si:ch73-94k4.4 [Source:ZFIN;Acc:ZDB-GENE-121214-228]	1	57145072	57145503	1
ENSDARG00000033444	map4k6	mitogen-activated protein kinase kinase kinase kinase 6 [Source:ZFIN;Acc:ZDB-GENE-060512-339]	21	34033580	34075107	1
ENSDARG00000088861	znf1021	zinc finger protein 1021 [Source:ZFIN;Acc:ZDB-GENE-110913-143]	4	45195202	45201724	1
ENSDARG00000079453	atp8b4	ATPase phospholipid transporting 8B4 [Source:ZFIN;Acc:ZDB-GENE-121116-7]	25	32404938	32464149	-1
ENSDARG00000042825	rnf169	ring finger protein 169 [Source:ZFIN;Acc:ZDB-GENE-030131-4336]	15	4969128	4985077	1
ENSDARG00000100423	BX323994.2		5	53581489	53607703	1
ENSDARG00000060036	aimp1	aminoacyl tRNA synthetase complex-interacting multifunctional protein 1 [Source:ZFIN;Acc:ZDB-GENE-060825-144]	1	50293938	50319654	1
ENSDARG00000020926	creb3l3l	cAMP responsive element binding protein 3-like 3 like [Source:ZFIN;Acc:ZDB-GENE-040426-2942]	8	31375119	31384620	-1
ENSDARG00000104656	si:dkeyp-97a10.3	si:dkeyp-97a10.3 [Source:ZFIN;Acc:ZDB-GENE-131127-642]	16	50926455	50952266	-1
ENSDARG00000091901	CR388209.1		20	8794502	8835094	-1
ENSDARG00000019098	cd82a	CD82 molecule a [Source:ZFIN;Acc:ZDB-GENE-030131-2818]	7	26709251	26739674	1
ENSDARG00000016897	fbxo15	F-box protein 15 [Source:ZFIN;Acc:ZDB-GENE-080416-4]	24	15655069	15669210	1
ENSDARG00000037962	psmb7	proteasome subunit beta 7 [Source:ZFIN;Acc:ZDB-GENE-001208-4]	21	8341774	8352095	1
ENSDARG00000096996	BX005392.2		24	17403470	17406366	-1
ENSDARG00000003533	col8a1b	collagen, type VIII, alpha 1b [Source:ZFIN;Acc:ZDB-GENE-060503-140]	22	28647130	28668442	-1
ENSDARG00000015566	dnmt3ab	DNA (cytosine-5-)-methyltransferase 3 alpha b [Source:ZFIN;Acc:ZDB-GENE-050314-3]	17	36936918	37054959	-1
ENSDARG00000115281	hist1h4l	histone 1, H4, like [Source:ZFIN;Acc:ZDB-GENE-070927-10]	25	35107480	35107791	-1
ENSDARG00000114405	zgc:194989	zgc:194989 [Source:ZFIN;Acc:ZDB-GENE-080723-3]	25	35105627	35106783	-1
ENSDARG00000020788	sla2	Src-like-adaptor 2 [Source:ZFIN;Acc:ZDB-GENE-080204-98]	23	14808221	14830627	-1
ENSDARG00000098428	asic1c	acid-sensing (proton-gated) ion channel 1c [Source:ZFIN;Acc:ZDB-GENE-040513-3]	24	33868109	34034931	-1
ENSDARG00000097460	CU929339.2		6	57431319	57455678	1
ENSDARG00000069245	matn3a	matrilin 3a [Source:ZFIN;Acc:ZDB-GENE-040822-21]	20	43760059	43775544	-1
ENSDARG00000004597	lrrc4ba	leucine rich repeat containing 4Ba [Source:ZFIN;Acc:ZDB-GENE-080327-25]	3	30369765	30434016	-1
ENSDARG00000009350	atg3	autophagy related 3 [Source:ZFIN;Acc:ZDB-GENE-030131-8576]	6	7109954	7123210	-1
ENSDARG00000010956	sh3glb1b	SH3-domain GRB2-like endophilin B1b [Source:ZFIN;Acc:ZDB-GENE-030131-6851]	2	16173999	16210623	1
ENSDARG00000098260	si:dkeyp-85h7.1	si:dkeyp-85h7.1 [Source:ZFIN;Acc:ZDB-GENE-120214-38]	6	24318031	24320268	-1
ENSDARG00000099535	si:ch73-379j16.2	si:ch73-379j16.2 [Source:ZFIN;Acc:ZDB-GENE-141215-68]	14	2320220	2322484	-1
ENSDARG00000100139	si:ch211-113d22.2	si:ch211-113d22.2 [Source:ZFIN;Acc:ZDB-GENE-141222-39]	10	20448638	20454008	-1
ENSDARG00000076966	pagr1	PAXIP1 associated glutamate-rich protein 1 [Source:ZFIN;Acc:ZDB-GENE-030131-4801]	12	3723650	3732014	1
ENSDARG00000042252	eif4h	eukaryotic translation initiation factor 4h [Source:ZFIN;Acc:ZDB-GENE-010328-19]	15	4585266	4616928	-1
ENSDARG00000042151	skia	v-ski avian sarcoma viral oncogene homolog a [Source:ZFIN;Acc:ZDB-GENE-990715-9]	8	17395929	17516448	-1
ENSDARG00000018898	zfand5a	zinc finger, AN1-type domain 5a [Source:ZFIN;Acc:ZDB-GENE-040426-1979]	5	25680842	25694362	1
ENSDARG00000004274	zgc:112496	zgc:112496 [Source:ZFIN;Acc:ZDB-GENE-050320-25]	24	37631632	37640705	-1
ENSDARG00000018008	mdh1b	malate dehydrogenase 1B, NAD (soluble) [Source:ZFIN;Acc:ZDB-GENE-060929-384]	1	6218632	6225285	-1
ENSDARG00000103802	si:ch73-389b16.2	si:ch73-389b16.2 [Source:ZFIN;Acc:ZDB-GENE-050411-113]	6	24152816	24203980	-1
ENSDARG00000052164	znf507	zinc finger protein 507 [Source:ZFIN;Acc:ZDB-GENE-040426-1233]	7	47243564	47266151	1
ENSDARG00000071548	josd1	Josephin domain containing 1 [Source:ZFIN;Acc:ZDB-GENE-060929-260]	12	18906407	18915531	1
ENSDARG00000046141	zgc:162025	zgc:162025 [Source:ZFIN;Acc:ZDB-GENE-070424-17]	8	39816523	39822917	-1
ENSDARG00000036080	cd81a	CD81 molecule a [Source:ZFIN;Acc:ZDB-GENE-000831-5]	7	32983440	33023404	-1
ENSDARG00000041802	rnf141	ring finger protein 141 [Source:ZFIN;Acc:ZDB-GENE-040625-71]	18	16749091	16756144	1
ENSDARG00000096747	BX296562.2		20	33959570	33975292	1
